lncRNA,protein,label
n346012,Q07955,1
n384393,Q49AS9,1
n385729,Q01844,1
n339833,Q01844,1
n338205,Q86X94,1
n409519,Q07955,1
n340108,Q01844,1
n379378,P26599,1
n5543,Q49AS9,1
n385318,P26599,1
n342687,Q15717,1
n381184,Q9Y6M1,1
n406444,Q15717,1
n384770,Q86X94,1
n386029,P26599,1
n387748,Q07955,1
n339128,Q13148,1
n380163,Q13148,1
n376473,P35637,1
n345091,Q9HCE1,1
n346551,Q8NDV7,1
n346551,Q9UPQ9,1
n346551,Q9HCJ0,1
n338824,P35637,1
n372674,Q8NDV7,1
n372674,Q9UPQ9,1
n372674,Q9HCJ0,1
n341112,Q15717,1
n345222,O00425,1
n344569,P26599,1
n344691,P35637,1
n367640,Q9UKV8,1
n337988,P35637,1
n342861,Q01844,1
n385240,Q15717,1
n385829,Q07955,1
n344940,Q07955,1
n343048,Q07955,1
n323949,Q15717,1
n342491,Q15717,1
n338835,Q9Y6M1,1
n379972,Q49AS9,1
n345800,Q9HCE1,1
n338591,O00425,1
n342658,Q15717,1
n344490,P31483,1
n342544,Q15717,1
n377717,Q15717,1
n405504,P35637,1
n341727,Q15717,1
n340240,P31483,1
n386588,Q07955,1
n342503,Q13148,1
n379466,B7ZL34,1
n381216,Q15717,1
n385481,Q96PU8,1
n381878,O00425,1
n382060,Q15717,1
n409540,P31483,1
n337941,Q13148,1
n377766,P26599,1
n381231,Q15717,1
n340779,Q15717,1
n339158,Q15717,1
n407073,Q15717,1
n342785,Q9NZI8,1
n339886,Q15717,1
n337667,Q9Y6M1,1
n338114,O00425,1
n5387,Q15233,1
n383184,Q15717,1
n385468,P35637,1
n341264,Q13148,1
n344871,O00425,1
n386154,Q07955,1
n340159,Q13148,1
n338554,Q9HCE1,1
n387192,Q15717,1
n407434,P26599,1
n339119,P35637,1
n378866,Q15717,1
n342957,Q49AS9,1
n380693,Q9UKV8,1
n381899,P31483,1
n337864,P35637,1
n341087,Q01844,1
n340251,Q15717,1
n384480,Q9Y6M1,1
n346032,P35637,1
n384625,Q01844,1
n385951,Q9HCE1,1
n372674,O00425,1
n378912,O00425,1
n346082,O00425,1
n375459,P31483,1
n373241,Q15717,1
n385729,Q15717,1
n342998,P61964,1
n376991,Q15717,1
n345557,Q15717,1
n346467,Q07955,1
n342202,B7ZL34,1
n387060,Q9NZI8,1
n386524,Q15717,1
n383693,Q9NZI8,1
n341941,P35637,1
n407434,Q01844,1
n345421,P31483,1
n345637,Q9Y6M1,1
n382511,O00425,1
n387397,Q86X94,1
n342994,O00425,1
n341290,P35637,1
n337771,Q15717,1
n5315,Q8NEI3,1
n345222,P35637,1
n341400,Q15717,1
n345385,P35637,1
n344677,P35637,1
n339282,O00425,1
n372614,P35637,1
n410076,Q49AS9,1
n342729,Q9NZI8,1
n363484,Q01844,1
n385758,Q13148,1
n379581,O00425,1
n341065,Q9NZI8,1
n345395,Q13148,1
n341368,Q15717,1
n380489,Q49AS9,1
n340586,P35637,1
n376420,Q15717,1
n342429,Q9UKV8,1
n344995,Q9HCE1,1
n344724,Q49AS9,1
n342203,O00425,1
n384754,Q07955,1
n342704,Q49AS9,1
n341314,P35637,1
n410143,Q15717,1
n381568,Q15717,1
n5312,P19474,1
n340203,Q9UKV8,1
n386539,Q13148,1
n340049,Q15717,1
n343087,P35637,1
n341956,Q15717,1
n385310,Q07955,1
n333428,P35637,1
n346528,Q9Y6M1,1
n344705,Q13148,1
n408016,Q07955,1
n376433,Q9NZI8,1
n410038,Q15717,1
n1315,Q01844,1
n339118,Q49AS9,1
n384422,Q9NZI8,1
n340852,Q9HCE1,1
n406605,Q15717,1
n342613,P31483,1
n346126,Q07955,1
n385685,P26599,1
n385725,Q15717,1
n410188,Q9Y6M1,1
n407050,Q9NZI8,1
n381941,P26599,1
n325630,Q49AS9,1
n337757,O00425,1
n342206,Q9NZI8,1
n373805,Q13148,1
n368267,O00425,1
n383773,P35637,1
n339897,Q9UL18,1
n339897,Q9UKV8,1
n339897,Q9H9G7,1
n339897,Q9HCK5,1
n409250,O43251,1
n380693,Q9NZI8,1
n338128,Q9NZI8,1
n343070,B7ZL34,1
n339668,Q9NZI8,1
n338205,Q15717,1
n344659,Q9NZI8,1
n341296,Q15717,1
n338747,O00425,1
n406422,Q07955,1
n342055,Q49AS9,1
n343070,P23246,1
n380909,P31483,1
n382330,P26599,1
n383236,Q9UL18,1
n383236,Q9H9G7,1
n383236,Q9HCK5,1
n345685,O00425,1
n332636,O00425,1
n363933,Q9NZI8,1
n338443,Q9UKV8,1
n342729,Q9UL18,1
n342729,Q9H9G7,1
n342729,Q9HCK5,1
n409406,Q9HCE1,1
n345437,Q86X94,1
n346247,Q07955,1
n339461,Q86X94,1
n339646,Q9NZI8,1
n343087,Q9UKV8,1
n380263,Q07955,1
n345941,Q86X94,1
n381272,Q13148,1
n341975,O00425,1
n375745,Q13148,1
n371912,Q49AS9,1
n383556,Q15717,1
n375747,Q13148,1
n369876,Q07955,1
n342892,Q15717,1
n379442,Q9NZI8,1
n342115,P35637,1
n346528,Q15717,1
n345457,Q9NZI8,1
n342226,Q15717,1
n407211,Q9Y6M1,1
n382989,O00425,1
n342162,Q13148,1
n407400,P35637,1
n339490,Q15717,1
n342662,Q07955,1
n340781,Q15717,1
n337909,O00425,1
n338750,O00425,1
n344755,Q15717,1
n339970,Q15717,1
n342985,P50750,1
n338197,Q9Y6M1,1
n341238,Q49AS9,1
n386815,Q07955,1
n341324,Q15717,1
n342101,Q15717,1
n345222,Q9UKV8,1
n337667,Q13148,1
n340108,P31483,1
n340529,Q9UL18,1
n340529,Q9UKV8,1
n340529,Q9H9G7,1
n340529,Q9HCK5,1
n381846,Q9NZI8,1
n377015,Q13148,1
n344793,Q9Y6M1,1
n344656,Q07955,1
n381011,Q49AS9,1
n343085,P49458,1
n383025,Q15717,1
n381580,Q07955,1
n406931,P26599,1
n385261,Q13148,1
n333490,Q9NZI8,1
n383906,Q13148,1
n341735,P35637,1
n381351,Q9NZI8,1
n381344,P35637,1
n338265,Q15717,1
n337687,Q15717,1
n406201,Q9NZI8,1
n386976,Q13148,1
n333422,P31483,1
n381011,O00425,1
n409672,Q9Y6M1,1
n342088,Q15717,1
n381409,P31483,1
n410105,O00425,1
n341568,Q9HCE1,1
n376381,Q15717,1
n333422,Q15717,1
n376248,Q9UKV8,1
n338224,O00425,1
n339686,Q96PU8,1
n372987,Q15717,1
n346288,Q49AS9,1
n346492,Q9NZI8,1
n406566,Q07955,1
n344745,Q15717,1
n379336,Q13148,1
n376189,Q01844,1
n338404,Q49AS9,1
n375021,P26599,1
n407534,Q96PU8,1
n346040,Q9UKV8,1
n385951,Q15717,1
n342302,Q9Y6M1,1
n345574,O00425,1
n326368,Q13148,1
n340904,Q15717,1
n345310,P35637,1
n410565,Q15717,1
n338724,Q49AS9,1
n410249,Q15717,1
n345139,P35637,1
n346101,O00425,1
n387063,P31483,1
n338398,Q9NZI8,1
n344778,P35637,1
n341158,Q9NZI8,1
n410005,Q07955,1
n338087,Q9Y6M1,1
n345544,P35637,1
n340474,P35637,1
n341365,Q07955,1
n385725,Q8NDV7,1
n385725,Q9UPQ9,1
n385725,Q9HCJ0,1
n377740,Q9Y6M1,1
n382094,Q9Y6M1,1
n406201,Q9Y6M1,1
n363309,Q15717,1
n337830,Q49AS9,1
n385688,Q15717,1
n344547,Q01844,1
n385145,Q86X94,1
n341783,O00425,1
n344814,Q49AS9,1
n346551,Q9Y6M1,1
n383234,Q9Y6M1,1
n341290,Q15717,1
n340277,Q01844,1
n341569,P35637,1
n409707,O00425,1
n407721,Q15717,1
n345175,Q15717,1
n382131,Q15717,1
n342758,Q07955,1
n337756,P35637,1
n338976,Q13148,1
n384227,Q13148,1
n338482,Q15717,1
n345288,Q13148,1
n3891,O00425,1
n344872,Q15717,1
n339646,Q9HCE1,1
n346200,Q9Y6M1,1
n340684,Q13148,1
n385370,O00425,1
n340748,Q9NZI8,1
n345246,Q15717,1
n341308,Q15717,1
n409674,B7ZL34,1
n344610,O00425,1
n383019,Q9HCE1,1
n386682,Q01844,1
n344995,Q15717,1
n382220,P35637,1
n344658,Q15717,1
n345653,Q9NZI8,1
n337771,Q49AS9,1
n406274,Q9UKV8,1
n339095,B7ZL34,1
n3892,Q01844,1
n341340,Q9UKV8,1
n344659,Q9Y6M1,1
n387393,Q9UKV8,1
n336934,Q13148,1
n326151,Q15717,1
n377982,Q13148,1
n385468,Q15717,1
n341073,Q15717,1
n424067,Q13148,1
n342817,Q15717,1
n346398,Q9UKV8,1
n340254,P26599,1
n406914,Q15717,1
n372935,O00425,1
n366279,Q49AS9,1
n406444,Q07955,1
n343005,O00425,1
n338008,O00425,1
n379114,Q15717,1
n340870,Q13148,1
n383693,O00425,1
n409180,O00425,1
n345417,Q49AS9,1
n377664,Q9UKV8,1
n385727,Q9Y6M1,1
n342162,Q15717,1
n377834,O00425,1
n375477,O00425,1
n363878,Q49AS9,1
n406201,Q07955,1
n342135,Q9HCE1,1
n364206,Q07955,1
n340212,B7ZL34,1
n337914,Q9UKV8,1
n344871,Q15717,1
n375746,Q13148,1
n371684,Q15717,1
n340233,Q9UL18,1
n340233,Q9UKV8,1
n340233,Q9H9G7,1
n340233,Q9HCK5,1
n346128,Q07955,1
n344496,Q07955,1
n342108,P35637,1
n339304,Q9Y6M1,1
n332606,Q13148,1
n345182,Q49AS9,1
n375209,Q49AS9,1
n405893,Q49AS9,1
n407851,Q9NZI8,1
n383231,Q15717,1
n342135,Q01844,1
n338495,Q13148,1
n339622,Q9UL18,1
n339622,Q9UKV8,1
n339622,Q9H9G7,1
n339622,Q9HCK5,1
n342669,Q15717,1
n337841,Q13148,1
n341158,P35637,1
n408353,Q9NZI8,1
n335713,Q01844,1
n387060,Q9UL18,1
n387060,Q9UKV8,1
n387060,Q9H9G7,1
n387060,Q9HCK5,1
n407441,O00425,1
n345975,P35637,1
n339920,Q9UL18,1
n339920,Q9UKV8,1
n339920,Q9H9G7,1
n339920,Q9HCK5,1
n345170,Q15717,1
n344778,Q01844,1
n408119,O00425,1
n344992,Q13148,1
n377827,O00425,1
n342664,Q07955,1
n384770,Q15717,1
n386209,Q86X94,1
n379927,Q9Y6M1,1
n339862,Q13148,1
n342985,Q86X94,1
n371910,Q49AS9,1
n340820,Q49AS9,1
n343067,Q15022,1
n373685,Q07955,1
n339129,Q13148,1
n344909,Q15717,1
n345281,Q86X94,1
n381942,Q07955,1
n363484,Q9NZI8,1
n384700,P35637,1
n411578,Q9Y6M1,1
n338223,Q15717,1
n346523,Q07955,1
n406442,O00425,1
n323836,Q13148,1
n340210,O00425,1
n381409,Q9NZI8,1
n385185,P35637,1
n5315,Q8TEQ6,1
n370126,Q9Y6M1,1
n376384,Q15717,1
n376985,Q15717,1
n379132,P26599,1
n341783,Q9UKV8,1
n340011,Q49AS9,1
n344659,Q49AS9,1
n336293,Q01844,1
n376203,Q9Y6M1,1
n381430,Q01844,1
n344559,Q15717,1
n345685,P31483,1
n383862,B7ZL34,1
n385106,Q15717,1
n386343,Q15717,1
n383190,Q49AS9,1
n342724,Q9NZI8,1
n5387,P23246,1
n407434,Q15717,1
n341129,P26599,1
n341376,Q15717,1
n337988,O00425,1
n324177,P35637,1
n344540,Q13148,1
n334052,Q13148,1
n338512,Q9Y6M1,1
n344679,Q13148,1
n383179,Q07955,1
n5726,P26599,1
n385039,Q13148,1
n409684,Q9UKV8,1
n384210,P31483,1
n409406,Q9NZI8,1
n371301,Q9UKV8,1
n384754,P35637,1
n342729,Q49AS9,1
n341314,O00425,1
n346422,Q49AS9,1
n385202,Q9UKV8,1
n339212,Q13148,1
n344799,Q49AS9,1
n341180,Q9NZI8,1
n385106,Q49AS9,1
n339347,Q9Y6M1,1
n340836,Q15717,1
n326197,Q15717,1
n341617,P31483,1
n341648,Q15717,1
n341330,B7ZL34,1
n346033,Q07955,1
n340183,B7ZL34,1
n378252,Q15717,1
n342328,Q86X94,1
n344775,O00425,1
n342631,B7ZL34,1
n368627,Q9NZI8,1
n343017,Q49AS9,1
n383186,Q86X94,1
n332636,Q9Y6M1,1
n384720,Q9Y6M1,1
n340475,Q9Y6M1,1
n342332,Q15717,1
n381417,Q15717,1
n325141,Q9Y6M1,1
n405607,Q9NZI8,1
n385775,Q15717,1
n367848,Q15717,1
n377416,Q49AS9,1
n373804,Q15717,1
n408051,Q01844,1
n377834,Q8NDV7,1
n377834,Q9UPQ9,1
n377834,Q9HCJ0,1
n339558,Q9Y6M1,1
n379436,Q07955,1
n368106,P31483,1
n5387,P83876,1
n381557,Q9Y6M1,1
n384996,Q9Y6M1,1
n410638,Q15717,1
n377873,Q9Y6M1,1
n343067,Q13127,1
n334052,Q9UL18,1
n334052,Q9UKV8,1
n334052,Q9H9G7,1
n334052,Q9HCK5,1
n339634,Q01844,1
n378567,Q15717,1
n339893,Q9UL18,1
n339893,Q9UKV8,1
n339893,Q9H9G7,1
n339893,Q9HCK5,1
n407211,Q15717,1
n342612,Q9UKV8,1
n345226,Q86X94,1
n385951,Q9NZI8,1
n345653,Q01844,1
n405438,Q9UL18,1
n405438,Q9UKV8,1
n405438,Q9H9G7,1
n405438,Q9HCK5,1
n345694,Q15717,1
n341468,O00425,1
n387397,P35637,1
n345458,Q15717,1
n341486,Q9HCE1,1
n344601,Q9UKV8,1
n340203,P31483,1
n381878,Q07955,1
n383693,Q15717,1
n345887,Q49AS9,1
n340270,P26599,1
n405639,Q9HCE1,1
n338554,O00425,1
n386328,Q15717,1
n346337,Q07955,1
n344808,Q15717,1
n377932,P31483,1
n407434,P35637,1
n385106,O00425,1
n407071,Q9UKV8,1
n345777,P31483,1
n385223,P26599,1
n371670,Q15717,1
n339976,O00425,1
n406416,Q15717,1
n364340,Q07955,1
n341884,Q15717,1
n377670,Q07955,1
n340509,Q9Y6M1,1
n383172,P26599,1
n344736,P31483,1
n344745,Q01844,1
n385780,Q15717,1
n336934,O00425,1
n383932,Q13148,1
n377827,Q9NZI8,1
n345437,Q49AS9,1
n341330,Q9HCE1,1
n379616,Q9Y6M1,1
n346521,Q07955,1
n342106,P35637,1
n377639,Q9UKV8,1
n369699,Q07955,1
n387397,O00425,1
n405884,Q15717,1
n343030,O76094,1
n368098,Q15717,1
n344924,Q15717,1
n387719,P35637,1
n410904,P35637,1
n363484,P35637,1
n385511,Q9UL18,1
n385511,Q9UKV8,1
n385511,Q9H9G7,1
n385511,Q9HCK5,1
n340648,Q07955,1
n340212,Q9NZI8,1
n338006,Q9UL18,1
n338006,Q9UKV8,1
n338006,Q9H9G7,1
n338006,Q9HCK5,1
n369876,P35637,1
n337930,Q9Y6M1,1
n342570,Q15717,1
n379300,O43251,1
n345117,Q86X94,1
n364686,Q9NZI8,1
n380707,P31483,1
n371665,Q9NZI8,1
n339668,Q01844,1
n339701,Q9Y6M1,1
n341148,B7ZL34,1
n344604,Q49AS9,1
n339037,Q15717,1
n340911,Q13148,1
n386682,Q96PU8,1
n382918,Q15717,1
n387060,Q07955,1
n377506,Q15717,1
n338128,Q9Y6M1,1
n364244,Q07955,1
n345954,Q15717,1
n344965,Q13148,1
n344726,P26599,1
n338842,Q15717,1
n381102,O43251,1
n345186,P31483,1
n344514,Q9UKV8,1
n342049,Q07955,1
n344508,O00425,1
n381057,Q15717,1
n387290,O00425,1
n385725,B7ZL34,1
n345886,P35637,1
n378866,P26599,1
n340009,Q15717,1
n340689,Q49AS9,1
n381280,Q9NZI8,1
n344462,Q15717,1
n338298,Q15717,1
n381280,Q9Y6M1,1
n339541,Q96PU8,1
n371910,Q01844,1
n381805,O00425,1
n335526,Q07955,1
n411720,Q9UL18,1
n411720,Q9UKV8,1
n411720,Q9H9G7,1
n411720,Q9HCK5,1
n345386,Q15717,1
n371665,Q9UKV8,1
n339434,Q49AS9,1
n410457,Q49AS9,1
n375244,Q07955,1
n384430,P26599,1
n5296,Q3MI39,1
n338358,Q15717,1
n337964,Q86X94,1
n342231,B7ZL34,1
n5315,Q7L014,1
n338207,Q9Y6M1,1
n344975,Q9NZI8,1
n378567,P35637,1
n365884,Q9Y6M1,1
n341044,P35637,1
n342724,P35637,1
n343085,P37108,1
n344461,P31483,1
n385119,Q9Y6M1,1
n341617,Q15717,1
n345041,Q15717,1
n338647,P31483,1
n343048,Q49AS9,1
n385914,Q07955,1
n371667,Q9Y6M1,1
n345293,Q13148,1
n5543,P26599,1
n346167,Q86X94,1
n377360,O00425,1
n346426,Q07955,1
n340509,Q49AS9,1
n346109,P26599,1
n338750,P35637,1
n408277,Q9Y6M1,1
n334052,Q8NDV7,1
n334052,Q9UPQ9,1
n334052,Q9HCJ0,1
n385685,Q01844,1
n380208,Q13148,1
n340970,Q15717,1
n343050,Q07955,1
n370618,Q9NZI8,1
n344907,Q15717,1
n338102,Q15717,1
n407138,Q07955,1
n377254,Q01844,1
n411511,Q13148,1
n328253,P62312,1
n407098,Q07955,1
n342116,Q49AS9,1
n408353,Q9Y6M1,1
n341704,P26599,1
n341835,Q13148,1
n408146,Q07955,1
n341783,P35637,1
n324918,Q49AS9,1
n341049,Q01844,1
n406138,Q49AS9,1
n5623,O43447,1
n342613,Q86X94,1
n411597,Q15717,1
n345271,Q15717,1
n344899,Q15717,1
n344678,P26599,1
n376420,Q13148,1
n408354,P31483,1
n385725,Q01844,1
n338207,Q49AS9,1
n406883,O00425,1
n345474,P35637,1
n378866,Q9Y6M1,1
n375478,P35637,1
n340517,Q9Y6M1,1
n383747,P26599,1
n385685,Q96PU8,1
n372317,Q15717,1
n345437,P31483,1
n338931,Q96PU8,1
n340697,Q9NZI8,1
n336293,Q9Y6M1,1
n345925,Q07955,1
n384227,Q15717,1
n385059,Q9UKV8,1
n382487,Q07955,1
n368164,P35637,1
n341049,Q13148,1
n325950,Q13148,1
n406287,Q15717,1
n346128,Q15717,1
n345296,Q01844,1
n383862,Q9NZI8,1
n326651,Q13148,1
n339702,Q9NZI8,1
n340748,Q49AS9,1
n382664,Q07955,1
n378431,Q15717,1
n334773,Q49AS9,1
n342861,Q49AS9,1
n372718,O00425,1
n341903,Q15717,1
n345903,Q07955,1
n341081,Q15717,1
n408055,P26599,1
n342344,Q15717,1
n346060,Q07955,1
n372685,P35637,1
n384209,P26599,1
n325292,Q15717,1
n345418,Q01844,1
n379593,Q9NZI8,1
n385229,Q13148,1
n381159,Q9UKV8,1
n340981,Q9HCE1,1
n345594,Q15717,1
n341570,Q86X94,1
n407125,Q9Y6M1,1
n409618,Q9UL18,1
n409618,Q9UKV8,1
n409618,Q9H9G7,1
n409618,Q9HCK5,1
n386194,Q9Y6M1,1
n341836,P31483,1
n341148,Q15717,1
n326264,Q13148,1
n346465,O00425,1
n384975,O00425,1
n386901,O00425,1
n339156,Q15717,1
n384140,Q15717,1
n381159,Q9Y6M1,1
n340115,Q9NZI8,1
n379110,O00425,1
n342817,Q8NDV7,1
n342817,Q9UPQ9,1
n342817,Q9HCJ0,1
n345800,Q9NZI8,1
n345765,Q15717,1
n346537,O00425,1
n409359,P31483,1
n337771,Q96PU8,1
n342135,Q9UL18,1
n342135,Q9UKV8,1
n342135,Q9H9G7,1
n342135,Q9HCK5,1
n340509,B7ZL34,1
n340068,Q9NZI8,1
n386179,P35637,1
n386067,Q9Y6M1,1
n346528,O00425,1
n405299,Q07955,1
n338108,Q9NZI8,1
n340028,O00425,1
n337771,P31483,1
n383019,Q9UL18,1
n383019,Q9UKV8,1
n383019,Q9H9G7,1
n383019,Q9HCK5,1
n341737,Q15717,1
n342243,Q13148,1
n376473,Q13148,1
n384202,Q15717,1
n342118,Q9Y6M1,1
n342568,P31483,1
n338008,Q9UL18,1
n338008,Q9UKV8,1
n338008,Q9H9G7,1
n338008,Q9HCK5,1
n378252,O00425,1
n342140,Q15717,1
n338651,B7ZL34,1
n384643,Q49AS9,1
n337667,Q49AS9,1
n384720,O00425,1
n5315,Q9NVP2,1
n344818,Q9Y6M1,1
n337740,Q15717,1
n341345,Q86X94,1
n339897,Q01844,1
n341937,Q9UKV8,1
n379466,Q9UKV8,1
n385273,Q15717,1
n386628,Q9UKV8,1
n381268,Q07955,1
n410456,Q07955,1
n386605,Q07955,1
n405399,O00425,1
n338028,P35637,1
n385802,Q49AS9,1
n377664,Q86X94,1
n341878,Q15717,1
n339646,Q96PU8,1
n341503,P26599,1
n326195,P35637,1
n341819,O00425,1
n345014,O00425,1
n345594,Q49AS9,1
n368764,Q01844,1
n384738,Q15717,1
n335584,Q15717,1
n326536,Q13148,1
n379023,Q15717,1
n344664,Q9UKV8,1
n346354,Q07955,1
n339990,Q15717,1
n407311,Q9UL18,1
n407311,Q9UKV8,1
n407311,Q9H9G7,1
n407311,Q9HCK5,1
n384082,Q07955,1
n383639,Q15717,1
n363690,Q8NDV7,1
n363690,Q9UPQ9,1
n363690,Q9HCJ0,1
n324192,P35637,1
n385106,B7ZL34,1
n345850,Q15717,1
n337756,Q01844,1
n336296,Q13148,1
n338905,Q9Y6M1,1
n383714,Q15717,1
n377837,Q9Y6M1,1
n376402,Q13148,1
n405639,Q07955,1
n344758,Q86X94,1
n364533,Q86X94,1
n377720,P31483,1
n341949,P35637,1
n337902,Q01844,1
n344720,O00425,1
n406134,Q01844,1
n338653,Q9NZI8,1
n344930,P35637,1
n407312,Q9Y6M1,1
n372903,Q15717,1
n342569,Q9NZI8,1
n385002,Q15717,1
n375578,Q15717,1
n333358,Q86X94,1
n338165,O00425,1
n342056,Q15717,1
n339984,Q9NZI8,1
n342158,Q15717,1
n411118,Q07955,1
n382687,P35637,1
n377616,Q15717,1
n339263,P26599,1
n345751,Q15717,1
n385914,P26599,1
n333490,Q15717,1
n345423,Q9UL18,1
n345423,Q9UKV8,1
n345423,Q9H9G7,1
n345423,Q9HCK5,1
n344601,O00425,1
n376314,Q01844,1
n335584,O00425,1
n405440,Q07955,1
n338577,B7ZL34,1
n342260,Q15717,1
n343048,Q15717,1
n345694,Q9NZI8,1
n339646,Q15717,1
n340974,Q9NZI8,1
n406914,O00425,1
n382918,Q9Y6M1,1
n338647,Q86X94,1
n386735,P35637,1
n345310,Q15717,1
n344872,Q49AS9,1
n341049,P26599,1
n324689,P26599,1
n385812,Q9Y6M1,1
n385511,Q49AS9,1
n344803,Q9NZI8,1
n341180,Q15717,1
n410063,P35637,1
n342544,Q49AS9,1
n386687,Q9NZI8,1
n382490,P26599,1
n340009,O00425,1
n408331,Q07955,1
n366279,P26599,1
n323867,O00425,1
n343048,P26599,1
n337681,Q15717,1
n345304,Q01844,1
n338810,Q9HCE1,1
n338932,Q13148,1
n384841,Q07955,1
n338207,O00425,1
n384422,Q9UKV8,1
n341112,O00425,1
n369984,Q15717,1
n379281,O00425,1
n384754,Q9UL18,1
n384754,Q9UKV8,1
n384754,Q9H9G7,1
n384754,Q9HCK5,1
n337759,P31483,1
n406866,P26599,1
n345781,Q9Y6M1,1
n381789,Q49AS9,1
n386605,Q15717,1
n340248,O00425,1
n333358,Q01844,1
n344514,Q15717,1
n387048,Q9UKV8,1
n377769,P26599,1
n341092,P35637,1
n373805,Q49AS9,1
n343085,P05455,1
n343071,Q07955,1
n340901,P35637,1
n339250,O00425,1
n344724,Q07955,1
n341819,Q07955,1
n345117,Q01844,1
n364511,Q9UL18,1
n364511,Q9UKV8,1
n364511,Q9H9G7,1
n364511,Q9HCK5,1
n342204,P26599,1
n386435,Q07955,1
n339861,Q15717,1
n343067,Q9NZI8,1
n338446,Q9Y6M1,1
n341017,P35637,1
n370204,Q49AS9,1
n346238,Q9Y6M1,1
n334052,Q9Y6M1,1
n338229,Q13148,1
n410072,P31483,1
n406134,P35637,1
n323983,P26599,1
n336293,O00425,1
n343006,P35637,1
n337908,Q9Y6M1,1
n384430,Q15717,1
n344793,Q86X94,1
n382918,O00425,1
n381557,Q9NZI8,1
n340604,Q07955,1
n344601,P31483,1
n405504,Q9NZI8,1
n380177,P31483,1
n384393,P26599,1
n341643,Q9NZI8,1
n378710,Q15717,1
n345386,Q13148,1
n382497,P31483,1
n345449,Q96PU8,1
n343060,Q86X94,1
n386628,Q9UL18,1
n386628,Q9H9G7,1
n386628,Q9HCK5,1
n369240,Q13148,1
n340599,P26599,1
n411694,Q86X94,1
n338129,Q9UL18,1
n338129,Q9UKV8,1
n338129,Q9H9G7,1
n338129,Q9HCK5,1
n339264,O00425,1
n344871,Q9HCE1,1
n346200,P31483,1
n338931,Q9Y6M1,1
n346026,Q13148,1
n345424,O00425,1
n4864,P26599,1
n5543,Q9H633,1
n378710,O00425,1
n345386,Q01844,1
n410019,Q07955,1
n343060,Q07955,1
n323992,O00425,1
n337756,Q07955,1
n341724,Q15717,1
n334504,P31483,1
n343085,Q49AS9,1
n341291,P26599,1
n385709,P31483,1
n339558,O00425,1
n335629,Q15717,1
n344691,Q01844,1
n386179,Q9Y6M1,1
n339421,Q13148,1
n375477,Q86X94,1
n341291,O00425,1
n384393,Q15717,1
n379110,Q07955,1
n345457,Q49AS9,1
n335591,Q9Y6M1,1
n387265,O00425,1
n344755,Q9Y6M1,1
n342433,Q13148,1
n381078,Q15717,1
n342669,O00425,1
n341783,Q9NZI8,1
n409625,Q07955,1
n383794,Q15717,1
n411511,P35637,1
n370290,Q96PU8,1
n378795,Q15717,1
n407071,Q9Y6M1,1
n406515,P26599,1
n346460,Q07955,1
n342817,Q49AS9,1
n342756,Q07955,1
n346137,O00425,1
n339026,Q9UKV8,1
n384212,P35637,1
n369876,Q9Y6M1,1
n341490,B7ZL34,1
n337988,Q01844,1
n336293,Q9UL18,1
n336293,Q9UKV8,1
n336293,Q9H9G7,1
n336293,Q9HCK5,1
n384738,Q07955,1
n339419,Q13148,1
n410523,Q15717,1
n338367,Q49AS9,1
n408221,Q9UL18,1
n408221,Q9UKV8,1
n408221,Q9H9G7,1
n408221,Q9HCK5,1
n339642,Q15717,1
n338265,Q9UKV8,1
n406795,Q9HCE1,1
n341291,P35637,1
n385036,Q15717,1
n340586,Q01844,1
n410063,O00425,1
n385468,Q9UL18,1
n385468,Q9UKV8,1
n385468,Q9H9G7,1
n385468,Q9HCK5,1
n344490,Q9Y6M1,1
n341739,P35637,1
n344541,Q07955,1
n344960,Q9Y6M1,1
n371273,Q15717,1
n375603,Q13148,1
n382508,Q9Y6M1,1
n344656,O00425,1
n377360,Q9NZI8,1
n406442,Q07955,1
n342729,P35637,1
n374138,Q49AS9,1
n344871,Q9NZI8,1
n343085,Q13148,1
n406134,Q9Y6M1,1
n370880,P26599,1
n342576,Q15717,1
n345289,Q49AS9,1
n339073,Q13148,1
n334052,Q01844,1
n339419,Q15717,1
n344540,P31483,1
n2060,Q01844,1
n333428,Q8NDV7,1
n333428,Q9UPQ9,1
n333428,Q9HCJ0,1
n340586,Q9Y6M1,1
n344745,O00425,1
n384770,Q01844,1
n338882,Q9NZI8,1
n344460,Q15717,1
n336934,Q15717,1
n345437,Q9Y6M1,1
n342994,P35637,1
n337756,Q8NDV7,1
n337756,Q9UPQ9,1
n337756,Q9HCJ0,1
n385272,P26599,1
n383019,Q9Y6M1,1
n344695,Q15717,1
n384625,Q15717,1
n381616,Q15717,1
n345222,Q9NZI8,1
n387210,Q9UKV8,1
n341784,Q15717,1
n372993,Q15717,1
n365664,Q01844,1
n328253,P17980,1
n342724,Q9UL18,1
n342724,Q9UKV8,1
n342724,Q9H9G7,1
n342724,Q9HCK5,1
n341330,Q9Y6M1,1
n342129,Q15717,1
n344540,Q15717,1
n340115,Q9Y6M1,1
n337733,Q15717,1
n406134,O00425,1
n325544,Q15717,1
n337829,Q13148,1
n340793,Q15717,1
n410638,Q9NZI8,1
n382060,Q07955,1
n407936,Q9HCE1,1
n372578,Q15717,1
n386735,Q07955,1
n370070,Q07955,1
n378007,Q15717,1
n381351,Q15717,1
